X,Y,u (mm) @ t=0,v (mm) @ t=0,w (mm) @ t=0,t (s) @ t=0,u (mm) @ t=0.1,v (mm) @ t=0.1,w (mm) @ t=0.1,t (s) @ t=0.1,u (mm) @ t=0.2,v (mm) @ t=0.2,w (mm) @ t=0.2,t (s) @ t=0.2,u (mm) @ t=0.3,v (mm) @ t=0.3,w (mm) @ t=0.3,t (s) @ t=0.3,u (mm) @ t=0.4,v (mm) @ t=0.4,w (mm) @ t=0.4,t (s) @ t=0.4,u (mm) @ t=0.5,v (mm) @ t=0.5,w (mm) @ t=0.5,t (s) @ t=0.5,u (mm) @ t=0.6,v (mm) @ t=0.6,w (mm) @ t=0.6,t (s) @ t=0.6,u (mm) @ t=0.7,v (mm) @ t=0.7,w (mm) @ t=0.7,t (s) @ t=0.7,u (mm) @ t=0.8,v (mm) @ t=0.8,w (mm) @ t=0.8,t (s) @ t=0.8,u (mm) @ t=0.9,v (mm) @ t=0.9,w (mm) @ t=0.9,t (s) @ t=0.9,u (mm) @ t=1,v (mm) @ t=1,w (mm) @ t=1,t (s) @ t=1
-1,-10,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0.3,0,0,0,0.4,0,0,0,0.5,0,0,0,0.6,0,0,0,0.7,0,0,0,0.8,0,0,0,0.9,0,0,0,1
-0.6,-10,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0.3,0,0,0,0.4,0,0,0,0.5,0,0,0,0.6,0,0,0,0.7,0,0,0,0.8,0,0,0,0.9,0,0,0,1
-1,-9.625,5.71E-10,6.96E-10,0,0,5.46E-05,6.64E-05,0,0.1,1.09E-04,1.33E-04,0,0.2,1.64E-04,1.99E-04,0,0.3,2.18E-04,2.65E-04,0,0.4,2.73E-04,3.32E-04,0,0.5,3.28E-04,3.98E-04,0,0.6,3.82E-04,4.65E-04,0,0.7,4.37E-04,5.31E-04,0,0.8,4.92E-04,5.97E-04,0,0.9,5.46E-04,6.64E-04,0,1
-0.6,-9.625,2.98E-10,5.32E-10,0,0,2.86E-05,5.07E-05,0,0.1,5.72E-05,1.01E-04,0,0.2,8.58E-05,1.52E-04,0,0.3,1.14E-04,2.03E-04,0,0.4,1.43E-04,2.54E-04,0,0.5,1.72E-04,3.04E-04,0,0.6,2.00E-04,3.55E-04,0,0.7,2.29E-04,4.06E-04,0,0.8,2.57E-04,4.57E-04,0,0.9,2.86E-04,5.07E-04,0,1
-1,-9.25,7.49E-10,1.24E-09,0,0,7.16E-05,1.18E-04,0,0.1,1.43E-04,2.36E-04,0,0.2,2.15E-04,3.55E-04,0,0.3,2.86E-04,4.73E-04,0,0.4,3.58E-04,5.91E-04,0,0.5,4.29E-04,7.09E-04,0,0.6,5.01E-04,8.28E-04,0,0.7,5.72E-04,9.46E-04,0,0.8,6.44E-04,0.001064066,0,0.9,7.16E-04,0.001182296,0,1
-0.6,-9.25,4.43E-10,1.13E-09,0,0,4.24E-05,1.08E-04,0,0.1,8.47E-05,2.16E-04,0,0.2,1.27E-04,3.23E-04,0,0.3,1.69E-04,4.31E-04,0,0.4,2.12E-04,5.39E-04,0,0.5,2.54E-04,6.47E-04,0,0.6,2.97E-04,7.54E-04,0,0.7,3.39E-04,8.62E-04,0,0.8,3.81E-04,9.70E-04,0,0.9,4.24E-04,0.001077644,0,1
-0.2,-10,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0.3,0,0,0,0.4,0,0,0,0.5,0,0,0,0.6,0,0,0,0.7,0,0,0,0.8,0,0,0,0.9,0,0,0,1
-0.2,-9.625,8.64E-11,4.90E-10,0,0,8.30E-06,4.68E-05,0,0.1,1.66E-05,9.35E-05,0,0.2,2.49E-05,1.40E-04,0,0.3,3.32E-05,1.87E-04,0,0.4,4.15E-05,2.34E-04,0,0.5,4.98E-05,2.81E-04,0,0.6,5.81E-05,3.27E-04,0,0.7,6.64E-05,3.74E-04,0,0.8,7.47E-05,4.21E-04,0,0.9,8.30E-05,4.68E-04,0,1
-1,-8.875,8.15E-10,1.81E-09,0,0,7.75E-05,1.72E-04,0,0.1,1.55E-04,3.44E-04,0,0.2,2.32E-04,5.15E-04,0,0.3,3.10E-04,6.87E-04,0,0.4,3.87E-04,8.59E-04,0,0.5,4.65E-04,0.001030966,0,0.6,5.42E-04,0.001202794,0,0.7,6.20E-04,0.001374622,0,0.8,6.97E-04,0.00154645,0,0.9,7.75E-04,0.001718277,0,1
-0.6,-8.875,4.96E-10,1.76E-09,0,0,4.73E-05,1.67E-04,0,0.1,9.45E-05,3.34E-04,0,0.2,1.42E-04,5.01E-04,0,0.3,1.89E-04,6.68E-04,0,0.4,2.36E-04,8.35E-04,0,0.5,2.84E-04,0.001002326,0,0.6,3.31E-04,0.00116938,0,0.7,3.78E-04,0.001336435,0,0.8,4.25E-04,0.001503489,0,0.9,4.73E-04,0.001670544,0,1
-0.2,-9.25,1.43E-10,1.08E-09,0,0,1.37E-05,1.03E-04,0,0.1,2.74E-05,2.06E-04,0,0.2,4.12E-05,3.09E-04,0,0.3,5.49E-05,4.12E-04,0,0.4,6.86E-05,5.15E-04,0,0.5,8.23E-05,6.19E-04,0,0.6,9.61E-05,7.22E-04,0,0.7,1.10E-04,8.25E-04,0,0.8,1.24E-04,9.28E-04,0,0.9,1.37E-04,0.001030866,0,1
0.2,-10,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0.3,0,0,0,0.4,0,0,0,0.5,0,0,0,0.6,0,0,0,0.7,0,0,0,0.8,0,0,0,0.9,0,0,0,1
0.2,-9.625,-8.64E-11,4.90E-10,0,0,-8.30E-06,4.68E-05,0,0.1,-1.66E-05,9.35E-05,0,0.2,-2.49E-05,1.40E-04,0,0.3,-3.32E-05,1.87E-04,0,0.4,-4.15E-05,2.34E-04,0,0.5,-4.98E-05,2.81E-04,0,0.6,-5.81E-05,3.27E-04,0,0.7,-6.64E-05,3.74E-04,0,0.8,-7.47E-05,4.21E-04,0,0.9,-8.30E-05,4.68E-04,0,1
-1,-8.5,8.38E-10,2.41E-09,0,0,7.90E-05,2.28E-04,0,0.1,1.58E-04,4.57E-04,0,0.2,2.37E-04,6.85E-04,0,0.3,3.16E-04,9.14E-04,0,0.4,3.95E-04,0.001142001,0,0.5,4.74E-04,0.001370401,0,0.6,5.53E-04,0.001598801,0,0.7,6.32E-04,0.001827202,0,0.8,7.11E-04,0.002055602,0,0.9,7.90E-04,0.002284002,0,1
-0.6,-8.5,5.11E-10,2.38E-09,0,0,4.83E-05,2.26E-04,0,0.1,9.66E-05,4.52E-04,0,0.2,1.45E-04,6.78E-04,0,0.3,1.93E-04,9.04E-04,0,0.4,2.42E-04,0.001130446,0,0.5,2.90E-04,0.001356535,0,0.6,3.38E-04,0.001582624,0,0.7,3.87E-04,0.001808713,0,0.8,4.35E-04,0.002034802,0,0.9,4.83E-04,0.002260891,0,1
-0.2,-8.875,1.66E-10,1.71E-09,0,0,1.58E-05,1.63E-04,0,0.1,3.17E-05,3.27E-04,0,0.2,4.75E-05,4.90E-04,0,0.3,6.34E-05,6.53E-04,0,0.4,7.92E-05,8.16E-04,0,0.5,9.50E-05,9.80E-04,0,0.6,1.11E-04,0.00114278,0,0.7,1.27E-04,0.001306034,0,0.8,1.43E-04,0.001469289,0,0.9,1.58E-04,0.001632543,0,1
0.2,-9.25,-1.43E-10,1.08E-09,0,0,-1.37E-05,1.03E-04,0,0.1,-2.74E-05,2.06E-04,0,0.2,-4.12E-05,3.09E-04,0,0.3,-5.49E-05,4.12E-04,0,0.4,-6.86E-05,5.15E-04,0,0.5,-8.23E-05,6.19E-04,0,0.6,-9.61E-05,7.22E-04,0,0.7,-1.10E-04,8.25E-04,0,0.8,-1.24E-04,9.28E-04,0,0.9,-1.37E-04,0.001030866,0,1
0.6,-10,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0.3,0,0,0,0.4,0,0,0,0.5,0,0,0,0.6,0,0,0,0.7,0,0,0,0.8,0,0,0,0.9,0,0,0,1
0.6,-9.625,-2.98E-10,5.32E-10,0,0,-2.86E-05,5.07E-05,0,0.1,-5.72E-05,1.01E-04,0,0.2,-8.58E-05,1.52E-04,0,0.3,-1.14E-04,2.03E-04,0,0.4,-1.43E-04,2.54E-04,0,0.5,-1.72E-04,3.04E-04,0,0.6,-2.00E-04,3.55E-04,0,0.7,-2.29E-04,4.06E-04,0,0.8,-2.57E-04,4.57E-04,0,0.9,-2.86E-04,5.07E-04,0,1
-1,-8.125,8.58E-10,3.04E-09,0,0,7.99E-05,2.86E-04,0,0.1,1.60E-04,5.73E-04,0,0.2,2.40E-04,8.59E-04,0,0.3,3.20E-04,0.001145691,0,0.4,4.00E-04,0.001432113,0,0.5,4.80E-04,0.001718536,0,0.6,5.59E-04,0.002004959,0,0.7,6.39E-04,0.002291381,0,0.8,7.19E-04,0.002577804,0,0.9,7.99E-04,0.002864227,0,1
-0.6,-8.125,5.25E-10,3.02E-09,0,0,4.90E-05,2.85E-04,0,0.1,9.80E-05,5.70E-04,0,0.2,1.47E-04,8.56E-04,0,0.3,1.96E-04,0.001140755,0,0.4,2.45E-04,0.001425944,0,0.5,2.94E-04,0.001711133,0,0.6,3.43E-04,0.001996321,0,0.7,3.92E-04,0.00228151,0,0.8,4.41E-04,0.002566699,0,0.9,4.90E-04,0.002851888,0,1
